Folder Name,batch_size,learning_rate,dropout_rate,n_hidden_layers,first_layer_nodes,epochs,patience,Test Accuracy,Test F1 Score,Test Precision,Test Recall,Test Loss,Validation Loss Min,Validation Accuracy Max,Validation F1 Max,VALIDATION MACRO F1,Val F1 @ Min Loss
BS_64_LR_0.001_DO_0.3_FLN_64_EP_100_PAT_15_HL_2,64,0.001,0.3,2,64,100,15,0.986,0.986,0.986,0.986,0.0665,0.0526,0.992,0.992,0.9828,0.9830049989544325
BS_32_LR_0.001_DO_0.3_FLN_256_EP_100_PAT_15_HL_3,32,0.001,0.3,3,256,100,15,0.983,0.983,0.983,0.983,0.0854,0.0618,0.9845,0.9845,0.9828,0.9829970223890515
BS_64_LR_0.0001_DO_0.4_FLN_256_EP_100_PAT_15_HL_2,64,0.0001,0.4,2,256,100,15,0.979,0.979,0.9791,0.979,0.0802,0.0608,0.991,0.991,0.9827,0.9830051912630836
BS_32_LR_0.001_DO_0.3_FLN_128_EP_100_PAT_15_HL_3,32,0.001,0.3,3,128,100,15,0.985,0.985,0.9851,0.985,0.0697,0.0564,0.991,0.991,0.9823,0.9825060234326128
BS_128_LR_0.0001_DO_0.2_FLN_256_EP_100_PAT_15_HL_3,128,0.0001,0.2,3,256,100,15,0.98,0.98,0.9801,0.98,0.0722,0.0555,0.9905,0.9905,0.9823,0.9825005430428969
BS_32_LR_0.001_DO_0.3_FLN_64_EP_100_PAT_15_HL_3,32,0.001,0.3,3,64,100,15,0.984,0.984,0.9841,0.984,0.0759,0.0582,0.9875,0.9875,0.9823,0.9825060234326128
BS_32_LR_0.001_DO_0.4_FLN_128_EP_100_PAT_15_HL_2,32,0.001,0.4,2,128,100,15,0.983,0.983,0.983,0.983,0.0755,0.0571,0.991,0.991,0.9823,0.9824958418106724
BS_64_LR_0.0001_DO_0.3_FLN_256_EP_100_PAT_15_HL_2,64,0.0001,0.3,2,256,100,15,0.984,0.984,0.9841,0.984,0.0805,0.0595,0.9925,0.9925,0.9823,0.9825060234326128
BS_128_LR_0.001_DO_0.3_FLN_64_EP_100_PAT_15_HL_3,128,0.001,0.3,3,64,100,15,0.983,0.983,0.983,0.983,0.0711,0.0579,0.9915,0.9915,0.9823,0.9824958418106724
BS_128_LR_0.01_DO_0.2_FLN_128_EP_100_PAT_15_HL_2,128,0.01,0.2,2,128,100,15,0.984,0.984,0.9841,0.984,0.0839,0.0632,0.99,0.99,0.9823,0.9825060234326128
BS_128_LR_0.0001_DO_0.3_FLN_256_EP_100_PAT_15_HL_3,128,0.0001,0.3,3,256,100,15,0.983,0.983,0.983,0.983,0.0738,0.0563,0.993,0.993,0.9823,0.9824958418106724
BS_128_LR_0.001_DO_0.3_FLN_256_EP_100_PAT_15_HL_3,128,0.001,0.3,3,256,100,15,0.984,0.984,0.984,0.984,0.0704,0.0574,0.989,0.989,0.9822,0.982507723151059
BS_128_LR_0.0001_DO_0.4_FLN_256_EP_100_PAT_15_HL_3,128,0.0001,0.4,3,256,100,15,0.978,0.978,0.9782,0.978,0.0841,0.0601,0.991,0.991,0.9822,0.9825045475361128
BS_64_LR_0.0001_DO_0.4_FLN_128_EP_100_PAT_15_HL_2,64,0.0001,0.4,2,128,100,15,0.98,0.98,0.9801,0.98,0.0931,0.069,0.9855,0.9855,0.982,0.9825013859399806
BS_64_LR_0.001_DO_0.4_FLN_64_EP_100_PAT_15_HL_3,64,0.001,0.4,3,64,100,15,0.983,0.983,0.983,0.983,0.0785,0.0584,0.99,0.99,0.9818,0.9819945509985664
BS_32_LR_0.0001_DO_0.2_FLN_256_EP_100_PAT_15_HL_3,32,0.0001,0.2,3,256,100,15,0.984,0.984,0.9841,0.984,0.065,0.05,0.991,0.991,0.9818,0.9819945509985664
BS_64_LR_0.001_DO_0.3_FLN_128_EP_100_PAT_15_HL_2,64,0.001,0.3,2,128,100,15,0.984,0.984,0.9841,0.984,0.0792,0.0561,0.9905,0.9905,0.9818,0.9819945509985664
BS_128_LR_0.001_DO_0.4_FLN_256_EP_100_PAT_15_HL_3,128,0.001,0.4,3,256,100,15,0.984,0.984,0.984,0.984,0.0718,0.0571,0.9905,0.9905,0.9817,0.9819944143710948
BS_128_LR_0.001_DO_0.3_FLN_128_EP_100_PAT_15_HL_2,128,0.001,0.3,2,128,100,15,0.985,0.985,0.985,0.985,0.0739,0.0574,0.9855,0.9855,0.9813,0.9814931452362976
BS_32_LR_0.001_DO_0.4_FLN_256_EP_100_PAT_15_HL_2,32,0.001,0.4,2,256,100,15,0.982,0.982,0.982,0.982,0.0814,0.0651,0.9815,0.9815,0.9813,0.9814931452362976
BS_64_LR_0.001_DO_0.2_FLN_64_EP_100_PAT_15_HL_3,64,0.001,0.2,3,64,100,15,0.983,0.983,0.983,0.983,0.0697,0.0547,0.993,0.993,0.9813,0.9814931452362976
BS_32_LR_0.0001_DO_0.2_FLN_64_EP_100_PAT_15_HL_3,32,0.0001,0.2,3,64,100,15,0.98,0.98,0.9801,0.98,0.085,0.0596,0.991,0.991,0.9812,0.9815029953792571
BS_64_LR_0.0001_DO_0.4_FLN_64_EP_100_PAT_15_HL_3,64,0.0001,0.4,3,64,100,15,0.98,0.98,0.9802,0.98,0.0891,0.0683,0.9905,0.9905,0.9809,0.9814958249017751
BS_128_LR_0.001_DO_0.2_FLN_64_EP_100_PAT_15_HL_3,128,0.001,0.2,3,64,100,15,0.98,0.98,0.9801,0.98,0.0796,0.0582,0.991,0.991,0.9808,0.980999821039072
BS_64_LR_0.0001_DO_0.4_FLN_256_EP_100_PAT_15_HL_3,64,0.0001,0.4,3,256,100,15,0.98,0.98,0.9801,0.98,0.072,0.0537,0.991,0.991,0.9808,0.980999821039072
BS_128_LR_0.001_DO_0.2_FLN_256_EP_100_PAT_15_HL_3,128,0.001,0.2,3,256,100,15,0.978,0.978,0.9781,0.978,0.076,0.0559,0.986,0.986,0.9808,0.9809973159124882
BS_128_LR_0.001_DO_0.4_FLN_128_EP_100_PAT_15_HL_3,128,0.001,0.4,3,128,100,15,0.983,0.983,0.983,0.983,0.0738,0.0576,0.989,0.989,0.9808,0.980991619804126
BS_128_LR_0.001_DO_0.3_FLN_128_EP_100_PAT_15_HL_3,128,0.001,0.3,3,128,100,15,0.978,0.978,0.9781,0.978,0.0798,0.0613,0.9875,0.9875,0.9806,0.9809964519752657
BS_32_LR_0.0001_DO_0.4_FLN_64_EP_100_PAT_15_HL_2,32,0.0001,0.4,2,64,100,15,0.98,0.98,0.9801,0.98,0.0897,0.0686,0.9885,0.9885,0.9805,0.9810087712856698
